variable,description
gini_rank_2006,"Income inequality rank (Gini Index), 2006"
gini_rank_2007,"Income inequality rank (Gini Index), 2007"
gini_rank_2008,"Income inequality rank (Gini Index), 2008"
gini_rank_2009,"Income inequality rank (Gini Index), 2009"
gini_rank_2010,"Income inequality rank (Gini Index), 2010"
gini_rank_2011,"Income inequality rank (Gini Index), 2011"
gini_rank_2012,"Income inequality rank (Gini Index), 2012"
gini_rank_2013,"Income inequality rank (Gini Index), 2013"
gini_rank_2014,"Income inequality rank (Gini Index), 2014"
gini_rank_2015,"Income inequality rank (Gini Index), 2015"
gini_rank_2016,"Income inequality rank (Gini Index), 2016"
gini_rank_2017,"Income inequality rank (Gini Index), 2017"
population_2017,"Population (thousands), 2017"
population_2018,"Population (thousands), 2018"
rural_percent_2017,"Population rural (%), 2017"
u5_pop_2018,"Under-5 population (thousands), 2018"
u5mr_1999,"Under-5 mortality rate (deaths per 1,000 live births), 1999"
u5mr_2000,"Under-5 mortality rate (deaths per 1,000 live births), 2000"
u5mr_2001,"Under-5 mortality rate (deaths per 1,000 live births), 2001"
u5mr_2002,"Under-5 mortality rate (deaths per 1,000 live births), 2002"
u5mr_2003,"Under-5 mortality rate (deaths per 1,000 live births), 2003"
u5mr_2004,"Under-5 mortality rate (deaths per 1,000 live births), 2004"
u5mr_2005,"Under-5 mortality rate (deaths per 1,000 live births), 2005"
u5mr_2006,"Under-5 mortality rate (deaths per 1,000 live births), 2006"
u5mr_2007,"Under-5 mortality rate (deaths per 1,000 live births), 2007"
u5mr_2008,"Under-5 mortality rate (deaths per 1,000 live births), 2008"
u5mr_2009,"Under-5 mortality rate (deaths per 1,000 live births), 2009"
u5mr_2010,"Under-5 mortality rate (deaths per 1,000 live births), 2010"
u5mr_2011,"Under-5 mortality rate (deaths per 1,000 live births), 2011"
u5mr_2012,"Under-5 mortality rate (deaths per 1,000 live births), 2012"
u5mr_2013,"Under-5 mortality rate (deaths per 1,000 live births), 2013"
u5mr_2014,"Under-5 mortality rate (deaths per 1,000 live births), 2014"
u5mr_2015,"Under-5 mortality rate (deaths per 1,000 live births), 2015"
u5mr_2016,"Under-5 mortality rate (deaths per 1,000 live births), 2016"
u5mr_2017,"Under-5 mortality rate (deaths per 1,000 live births), 2017"
anaemia_plan,Anaemia target included in national policies (yes or no/number with)
child_overweight_plan,Childhood overweight target included in national policies (yes or no/number with)
EBF_plan,Exclusive breastfeeding target included in national policies (yes or no/number with)
fbdg,Food-based dietary guideline (yes or no/number with a guideline)
LBW_plan,Low birth weight target included in national policies (yes or no/number with)
multi_sec,Comprehensive nutrition plan that involves at least two sectors (yes or no/number with)
ODA_basic_disbursed_2008,"Basic nutrition ODA disbursed (US$ millions), 2008"
ODA_basic_disbursed_2009,"Basic nutrition ODA disbursed (US$ millions), 2009"
ODA_basic_disbursed_2010,"Basic nutrition ODA disbursed (US$ millions), 2010"
ODA_basic_disbursed_2011,"Basic nutrition ODA disbursed (US$ millions), 2011"
ODA_basic_disbursed_2012,"Basic nutrition ODA disbursed (US$ millions), 2012"
ODA_basic_disbursed_2013,"Basic nutrition ODA disbursed (US$ millions), 2013"
ODA_basic_disbursed_2014,"Basic nutrition ODA disbursed (US$ millions), 2014"
ODA_basic_disbursed_2015,"Basic nutrition ODA disbursed (US$ millions), 2015"
ODA_basic_disbursed_2016,"Basic nutrition ODA disbursed (US$ millions), 2016"
ODA_basic_disbursed_percent_2008,"Basic nutrition ODA disbursed as a percentage of total ODA disbursed (US$ millions), 2008"
ODA_basic_disbursed_percent_2009,"Basic nutrition ODA disbursed as a percentage of total ODA disbursed (US$ millions), 2009"
ODA_basic_disbursed_percent_2010,"Basic nutrition ODA disbursed as a percentage of total ODA disbursed (US$ millions), 2010"
ODA_basic_disbursed_percent_2011,"Basic nutrition ODA disbursed as a percentage of total ODA disbursed (US$ millions), 2011"
ODA_basic_disbursed_percent_2012,"Basic nutrition ODA disbursed as a percentage of total ODA disbursed (US$ millions), 2012"
ODA_basic_disbursed_percent_2013,"Basic nutrition ODA disbursed as a percentage of total ODA disbursed (US$ millions), 2013"
ODA_basic_disbursed_percent_2014,"Basic nutrition ODA disbursed as a percentage of total ODA disbursed (US$ millions), 2014"
ODA_basic_disbursed_percent_2015,"Basic nutrition ODA disbursed as a percentage of total ODA disbursed (US$ millions), 2015"
ODA_basic_disbursed_percent_2016,"Basic nutrition ODA disbursed as a percentage of total ODA disbursed (US$ millions), 2016"
ODA_basic_received_2008,"Basic nutrition ODA received (US$ millions), 2008"
ODA_basic_received_2009,"Basic nutrition ODA received (US$ millions), 2009"
ODA_basic_received_2010,"Basic nutrition ODA received (US$ millions), 2010"
ODA_basic_received_2011,"Basic nutrition ODA received (US$ millions), 2011"
ODA_basic_received_2012,"Basic nutrition ODA received (US$ millions), 2012"
ODA_basic_received_2013,"Basic nutrition ODA received (US$ millions), 2013"
ODA_basic_received_2014,"Basic nutrition ODA received (US$ millions), 2014"
ODA_basic_received_2015,"Basic nutrition ODA received (US$ millions), 2015"
ODA_basic_received_2016,"Basic nutrition ODA received (US$ millions), 2016"
ODA_basic_received_percent_2008,"Basic nutrition ODA received as a percentage of total ODA received (US$ millions), 2008"
ODA_basic_received_percent_2009,"Basic nutrition ODA received as a percentage of total ODA received (US$ millions), 2009"
ODA_basic_received_percent_2010,"Basic nutrition ODA received as a percentage of total ODA received (US$ millions), 2010"
ODA_basic_received_percent_2011,"Basic nutrition ODA received as a percentage of total ODA received (US$ millions), 2011"
ODA_basic_received_percent_2012,"Basic nutrition ODA received as a percentage of total ODA received (US$ millions), 2012"
ODA_basic_received_percent_2013,"Basic nutrition ODA received as a percentage of total ODA received (US$ millions), 2013"
ODA_basic_received_percent_2014,"Basic nutrition ODA received as a percentage of total ODA received (US$ millions), 2014"
ODA_basic_received_percent_2015,"Basic nutrition ODA received as a percentage of total ODA received (US$ millions), 2015"
ODA_basic_received_percent_2016,"Basic nutrition ODA received as a percentage of total ODA received (US$ millions), 2016"
oda_per_1000_2008,"Basic nutrition ODA received (US$ per 1,000 people), 2008"
oda_per_1000_2009,"Basic nutrition ODA received (US$ per 1,000 people), 2009"
oda_per_1000_2010,"Basic nutrition ODA received (US$ per 1,000 people), 2010"
oda_per_1000_2011,"Basic nutrition ODA received (US$ per 1,000 people), 2011"
oda_per_1000_2012,"Basic nutrition ODA received (US$ per 1,000 people), 2012"
oda_per_1000_2013,"Basic nutrition ODA received (US$ per 1,000 people), 2013"
oda_per_1000_2014,"Basic nutrition ODA received (US$ per 1,000 people), 2014"
oda_per_1000_2015,"Basic nutrition ODA received (US$ per 1,000 people), 2015"
oda_per_1000_2016,"Basic nutrition ODA received (US$ per 1,000 people), 2016"
overweight_adults_adoles_plan,Overweight adults and adolescents target included in national policies (yes or no/number with)
salt_leg,Mandatory legislation for salt iodisation (yes or no/number with)
sodium_plan,Sodium target included in national policies (yes or no/number with)
stunting_plan,Child stunting target included in national policies (yes or no/number with)
sugar_tax,Sugar-sweetened beverage tax (yes or no/number with)
wasting_plan,Child wasting target included in national policies (yes or no/number with)
diarrhea_zinc_2005,"Children 0�59 months with diarrhoea who received zinc treatment (%), 2005"
diarrhea_zinc_2006,"Children 0�59 months with diarrhoea who received zinc treatment (%), 2006"
diarrhea_zinc_2008,"Children 0�59 months with diarrhoea who received zinc treatment (%), 2008"
diarrhea_zinc_2009,"Children 0�59 months with diarrhoea who received zinc treatment (%), 2009"
diarrhea_zinc_2010,"Children 0�59 months with diarrhoea who received zinc treatment (%), 2010"
diarrhea_zinc_2011,"Children 0�59 months with diarrhoea who received zinc treatment (%), 2011"
diarrhea_zinc_2012,"Children 0�59 months with diarrhoea who received zinc treatment (%), 2012"
diarrhea_zinc_2013,"Children 0�59 months with diarrhoea who received zinc treatment (%), 2013"
diarrhea_zinc_2014,"Children 0�59 months with diarrhoea who received zinc treatment (%), 2014"
diarrhea_zinc_2015,"Children 0�59 months with diarrhoea who received zinc treatment (%), 2015"
diarrhea_zinc_2016,"Children 0�59 months with diarrhoea who received zinc treatment (%), 2016"
iodised_salt_2000,"Household consumption of any iodised salt (%), 2000"
iodised_salt_2002,"Household consumption of any iodised salt (%), 2002"
iodised_salt_2005,"Household consumption of any iodised salt (%), 2005"
iodised_salt_2006,"Household consumption of any iodised salt (%), 2006"
iodised_salt_2008,"Household consumption of any iodised salt (%), 2008"
iodised_salt_2009,"Household consumption of any iodised salt (%), 2009"
iodised_salt_2010,"Household consumption of any iodised salt (%), 2010"
iodised_salt_2011,"Household consumption of any iodised salt (%), 2011"
iodised_salt_2012,"Household consumption of any iodised salt (%), 2012"
iodised_salt_2013,"Household consumption of any iodised salt (%), 2013"
iodised_salt_2014,"Household consumption of any iodised salt (%), 2014"
iodised_salt_2015,"Household consumption of any iodised salt (%), 2015"
iodised_salt_2016,"Household consumption of any iodised salt (%), 2016"
iron_and_folic_2006,"Women with a birth in last 5 years who received iron and folic acid during their most recent pregnancy (%), 2006"
iron_and_folic_2007,"Women with a birth in last 5 years who received iron and folic acid during their most recent pregnancy (%), 2007"
iron_and_folic_2008,"Women with a birth in last 5 years who received iron and folic acid during their most recent pregnancy (%), 2008"
iron_and_folic_2009,"Women with a birth in last 5 years who received iron and folic acid during their most recent pregnancy (%), 2009"
iron_and_folic_2010,"Women with a birth in last 5 years who received iron and folic acid during their most recent pregnancy (%), 2010"
iron_and_folic_2011,"Women with a birth in last 5 years who received iron and folic acid during their most recent pregnancy (%), 2011"
iron_and_folic_2012,"Women with a birth in last 5 years who received iron and folic acid during their most recent pregnancy (%), 2012"
iron_and_folic_2013,"Women with a birth in last 5 years who received iron and folic acid during their most recent pregnancy (%), 2013"
iron_and_folic_2014,"Women with a birth in last 5 years who received iron and folic acid during their most recent pregnancy (%), 2014"
iron_and_folic_2015,"Women with a birth in last 5 years who received iron and folic acid during their most recent pregnancy (%), 2015"
iron_and_folic_2016,"Women with a birth in last 5 years who received iron and folic acid during their most recent pregnancy (%), 2016"
iron_supp_2006,"Children 6�59 months given iron supplements in past 7 days (%), 2006"
iron_supp_2007,"Children 6�59 months given iron supplements in past 7 days (%), 2007"
iron_supp_2008,"Children 6�59 months given iron supplements in past 7 days (%), 2008"
iron_supp_2009,"Children 6�59 months given iron supplements in past 7 days (%), 2009"
iron_supp_2010,"Children 6�59 months given iron supplements in past 7 days (%), 2010"
iron_supp_2011,"Children 6�59 months given iron supplements in past 7 days (%), 2011"
iron_supp_2012,"Children 6�59 months given iron supplements in past 7 days (%), 2012"
iron_supp_2013,"Children 6�59 months given iron supplements in past 7 days (%), 2013"
iron_supp_2014,"Children 6�59 months given iron supplements in past 7 days (%), 2014"
iron_supp_2015,"Children 6�59 months given iron supplements in past 7 days (%), 2015"
iron_supp_2016,"Children 6�59 months given iron supplements in past 7 days (%), 2016"
vit_a_2006,"Children 6�59 months who received two doses of vitamin A supplements (%), 2006"
vit_a_2008,"Children 6�59 months who received two doses of vitamin A supplements (%), 2008"
vit_a_2009,"Children 6�59 months who received two doses of vitamin A supplements (%), 2009"
vit_a_2010,"Children 6�59 months who received two doses of vitamin A supplements (%), 2010"
vit_a_2011,"Children 6�59 months who received two doses of vitamin A supplements (%), 2011"
vit_a_2012,"Children 6�59 months who received two doses of vitamin A supplements (%), 2012"
vit_a_2013,"Children 6�59 months who received two doses of vitamin A supplements (%), 2013"
vit_a_2014,"Children 6�59 months who received two doses of vitamin A supplements (%), 2014"
vit_a_2015,"Children 6�59 months who received two doses of vitamin A supplements (%), 2015"
vit_a_2016,"Children 6�59 months who received two doses of vitamin A supplements (%), 2016"
adult_fem_diabetes_track,"Progress against global diabetes target, female (status/number on course)"
adult_fem_obesity_track,"Progress against global adult obesity target, female (status/number on course)"
adult_mal_diabetes_track,"Progress against global diabetes target, male (status/number on course)"
adult_mal_obesity_track,"Progress against global adult obesity target, male (status/number on course)"
burden_text,"Countries with overlapping forms of childhood stunting, anaemia and overweight in adult women - the specific forms"
country_class,"Countries with overlapping forms of childhood stunting, anaemia and overweight in adult women - the number of forms"
ebf_track,Progress against global exclusive breastfeeding target (status/number on course)
under_5_overweight_track,Progress against global child overweight target (status/number on course)
under_5_stunting_track,Progress against global child stunting target (status/number on course)
under_5_wasting_track,Progress against global child wasting target (status/number on course)
wra_anaemia_track,Progress against global anaemia target (status/number on course)
agriculture_expenditure_2000,"Government expenditure on agriculture (%), 2000"
agriculture_expenditure_2010,"Government expenditure on agriculture (%), 2010"
agriculture_expenditure_2012,"Government expenditure on agriculture (%), 2012"
basic_sanitation_2000,"Sanitation coverage, basic (%), 2000"
basic_sanitation_2015,"Sanitation coverage, basic (%), 2015"
basic_water_2000,"Drinking water coverage, basic (%), 2000"
basic_water_2015,"Drinking water coverage, basic (%), 2015"
community_health_workers_2000,"Population density of community health workers (per 1,000 population), 2000"
community_health_workers_2001,"Population density of community health workers (per 1,000 population), 2001"
community_health_workers_2003,"Population density of community health workers (per 1,000 population), 2003"
community_health_workers_2004,"Population density of community health workers (per 1,000 population), 2004"
community_health_workers_2005,"Population density of community health workers (per 1,000 population), 2005"
community_health_workers_2006,"Population density of community health workers (per 1,000 population), 2006"
community_health_workers_2007,"Population density of community health workers (per 1,000 population), 2007"
community_health_workers_2008,"Population density of community health workers (per 1,000 population), 2008"
community_health_workers_2009,"Population density of community health workers (per 1,000 population), 2009"
community_health_workers_2010,"Population density of community health workers (per 1,000 population), 2010"
community_health_workers_2011,"Population density of community health workers (per 1,000 population), 2011"
community_health_workers_2012,"Population density of community health workers (per 1,000 population), 2012"
community_health_workers_2013,"Population density of community health workers (per 1,000 population), 2013"
community_health_workers_2014,"Population density of community health workers (per 1,000 population), 2014"
community_health_workers_2015,"Population density of community health workers (per 1,000 population), 2015"
community_health_workers_2016,"Population density of community health workers (per 1,000 population), 2016"
early_childbearing_prev_2000,"Percentage of women age 20-24 who gave birth before age 18 (%), 2000"
early_childbearing_prev_2001,"Percentage of women age 20-24 who gave birth before age 18 (%), 2001"
early_childbearing_prev_2004,"Percentage of women age 20-24 who gave birth before age 18 (%), 2004"
early_childbearing_prev_2005,"Percentage of women age 20-24 who gave birth before age 18 (%), 2005"
early_childbearing_prev_2006,"Percentage of women age 20-24 who gave birth before age 18 (%), 2006"
early_childbearing_prev_2007,"Percentage of women age 20-24 who gave birth before age 18 (%), 2007"
early_childbearing_prev_2008,"Percentage of women age 20-24 who gave birth before age 18 (%), 2008"
early_childbearing_prev_2009,"Percentage of women age 20-24 who gave birth before age 18 (%), 2009"
early_childbearing_prev_2010,"Percentage of women age 20-24 who gave birth before age 18 (%), 2010"
early_childbearing_prev_2011,"Percentage of women age 20-24 who gave birth before age 18 (%), 2011"
early_childbearing_prev_2012,"Percentage of women age 20-24 who gave birth before age 18 (%), 2012"
early_childbearing_prev_2013,"Percentage of women age 20-24 who gave birth before age 18 (%), 2013"
early_childbearing_prev_2014,"Percentage of women age 20-24 who gave birth before age 18 (%), 2014"
early_childbearing_prev_2015,"Percentage of women age 20-24 who gave birth before age 18 (%), 2015"
education_spending_2000,"Government expenditure on education (%), 2000"
education_spending_2010,"Government expenditure on education (%), 2010"
education_spending_2012,"Government expenditure on education (%), 2012"
female_secondary_enroll_net_1999,"Female secondary education enrolment rates (net, %), 1999"
female_secondary_enroll_net_2000,"Female secondary education enrolment rates (net, %), 2000"
female_secondary_enroll_net_2001,"Female secondary education enrolment rates (net, %), 2001"
female_secondary_enroll_net_2002,"Female secondary education enrolment rates (net, %), 2002"
female_secondary_enroll_net_2003,"Female secondary education enrolment rates (net, %), 2003"
female_secondary_enroll_net_2004,"Female secondary education enrolment rates (net, %), 2004"
female_secondary_enroll_net_2005,"Female secondary education enrolment rates (net, %), 2005"
female_secondary_enroll_net_2006,"Female secondary education enrolment rates (net, %), 2006"
female_secondary_enroll_net_2007,"Female secondary education enrolment rates (net, %), 2007"
female_secondary_enroll_net_2008,"Female secondary education enrolment rates (net, %), 2008"
female_secondary_enroll_net_2009,"Female secondary education enrolment rates (net, %), 2009"
female_secondary_enroll_net_2010,"Female secondary education enrolment rates (net, %), 2010"
female_secondary_enroll_net_2011,"Female secondary education enrolment rates (net, %), 2011"
female_secondary_enroll_net_2012,"Female secondary education enrolment rates (net, %), 2012"
female_secondary_enroll_net_2013,"Female secondary education enrolment rates (net, %), 2013"
female_secondary_enroll_net_2014,"Female secondary education enrolment rates (net, %), 2014"
female_secondary_enroll_net_2015,"Female secondary education enrolment rates (net, %), 2015"
female_secondary_enroll_net_2016,"Female secondary education enrolment rates (net, %), 2016"
female_secondary_enroll_net_2017,"Female secondary education enrolment rates (net, %), 2017"
fruit_veg_availability_1995,"Availability of fruit and vegetables (g/capita), 1995"
fruit_veg_availability_1996,"Availability of fruit and vegetables (g/capita), 1996"
fruit_veg_availability_1997,"Availability of fruit and vegetables (g/capita), 1997"
fruit_veg_availability_1998,"Availability of fruit and vegetables (g/capita), 1998"
fruit_veg_availability_1999,"Availability of fruit and vegetables (g/capita), 1999"
fruit_veg_availability_2000,"Availability of fruit and vegetables (g/capita), 2000"
fruit_veg_availability_2001,"Availability of fruit and vegetables (g/capita), 2001"
fruit_veg_availability_2002,"Availability of fruit and vegetables (g/capita), 2002"
fruit_veg_availability_2003,"Availability of fruit and vegetables (g/capita), 2003"
fruit_veg_availability_2004,"Availability of fruit and vegetables (g/capita), 2004"
fruit_veg_availability_2005,"Availability of fruit and vegetables (g/capita), 2005"
fruit_veg_availability_2006,"Availability of fruit and vegetables (g/capita), 2006"
fruit_veg_availability_2007,"Availability of fruit and vegetables (g/capita), 2007"
fruit_veg_availability_2008,"Availability of fruit and vegetables (g/capita), 2008"
fruit_veg_availability_2009,"Availability of fruit and vegetables (g/capita), 2009"
fruit_veg_availability_2010,"Availability of fruit and vegetables (g/capita), 2010"
fruit_veg_availability_2011,"Availability of fruit and vegetables (g/capita), 2011"
fruit_veg_availability_2012,"Availability of fruit and vegetables (g/capita), 2012"
fruit_veg_availability_2013,"Availability of fruit and vegetables (g/capita), 2013"
gender_inequality_rank_2015,"Gender Inequality Index (country rank), 2015"
gender_inequality_rank_2016,"Gender Inequality Index (country rank), 2016"
gender_inequality_rank_2017,"Gender Inequality Index (country rank), 2017"
gender_inequality_score_2015,"Gender Inequality Index (score), 2015"
gender_inequality_score_2016,"Gender Inequality Index (score), 2016"
gender_inequality_score_2017,"Gender Inequality Index (score), 2017"
health_spending_2000,"Government expenditure on health (%), 2000"
health_spending_2010,"Government expenditure on health (%), 2010"
health_spending_2012,"Government expenditure on health (%), 2012"
limited_sanitation_2000,"Sanitation coverage, limited (%), 2000"
limited_sanitation_2015,"Sanitation coverage, limited (%), 2015"
limited_water_2000,"Drinking water coverage, limited (%), 2000"
limited_water_2015,"Drinking water coverage, limited (%), 2015"
nurses_and_midwives_1999,"Population density of nurses and midwives (per 1,000 population), 1999"
nurses_and_midwives_2001,"Population density of nurses and midwives (per 1,000 population), 2001"
nurses_and_midwives_2003,"Population density of nurses and midwives (per 1,000 population), 2003"
nurses_and_midwives_2004,"Population density of nurses and midwives (per 1,000 population), 2004"
nurses_and_midwives_2005,"Population density of nurses and midwives (per 1,000 population), 2005"
nurses_and_midwives_2006,"Population density of nurses and midwives (per 1,000 population), 2006"
nurses_and_midwives_2009,"Population density of nurses and midwives (per 1,000 population), 2009"
nurses_and_midwives_2010,"Population density of nurses and midwives (per 1,000 population), 2010"
nurses_and_midwives_2011,"Population density of nurses and midwives (per 1,000 population), 2011"
nurses_and_midwives_2012,"Population density of nurses and midwives (per 1,000 population), 2012"
nurses_and_midwives_2013,"Population density of nurses and midwives (per 1,000 population), 2013"
nurses_and_midwives_2014,"Population density of nurses and midwives (per 1,000 population), 2014"
nurses_and_midwives_2015,"Population density of nurses and midwives (per 1,000 population), 2015"
nurses_and_midwives_2016,"Population density of nurses and midwives (per 1,000 population), 2016"
open_defecation_2000,"Sanitation coverage, open defecation (%), 2000"
open_defecation_2015,"Sanitation coverage, open defecation (%), 2015"
physicians_1999,"Population density of physicians (per 1,000 population), 1999"
physicians_2001,"Population density of physicians (per 1,000 population), 2001"
physicians_2003,"Population density of physicians (per 1,000 population), 2003"
physicians_2004,"Population density of physicians (per 1,000 population), 2004"
physicians_2005,"Population density of physicians (per 1,000 population), 2005"
physicians_2006,"Population density of physicians (per 1,000 population), 2006"
physicians_2009,"Population density of physicians (per 1,000 population), 2009"
physicians_2010,"Population density of physicians (per 1,000 population), 2010"
physicians_2011,"Population density of physicians (per 1,000 population), 2011"
physicians_2012,"Population density of physicians (per 1,000 population), 2012"
physicians_2013,"Population density of physicians (per 1,000 population), 2013"
physicians_2014,"Population density of physicians (per 1,000 population), 2014"
physicians_2015,"Population density of physicians (per 1,000 population), 2015"
physicians_2016,"Population density of physicians (per 1,000 population), 2016"
safely_managed_sanitation_2000,"Sanitation coverage, safely managed (%), 2000"
safely_managed_sanitation_2015,"Sanitation coverage, safely managed (%), 2015"
safely_managed_water_2000,"Drinking water coverage, safely managed (%), 2000"
safely_managed_water_2015,"Drinking water coverage, safely managed (%), 2015"
social_protection_spending_2000,"Government expenditure on social protection (%), 2000"
social_protection_spending_2010,"Government expenditure on social protection (%), 2010"
social_protection_spending_2012,"Government expenditure on social protection (%), 2012"
surface_water_2000,"Drinking water coverage, surface water (%), 2000"
surface_water_2015,"Drinking water coverage, surface water (%), 2015"
total_calories_non_staple_2000,"Available kcal from non-staples (%), 2000"
total_calories_non_staple_2001,"Available kcal from non-staples (%), 2001"
total_calories_non_staple_2003,"Available kcal from non-staples (%), 2003"
total_calories_non_staple_2004,"Available kcal from non-staples (%), 2004"
total_calories_non_staple_2006,"Available kcal from non-staples (%), 2006"
total_calories_non_staple_2008,"Available kcal from non-staples (%), 2008"
total_calories_non_staple_2009,"Available kcal from non-staples (%), 2009"
total_calories_non_staple_2012,"Available kcal from non-staples (%), 2012"
total_calories_non_staple_2013,"Available kcal from non-staples (%), 2013"
undernourishment_prev_2000,"Undernourishment (%), 2000"
undernourishment_prev_2004,"Undernourishment (%), 2004"
undernourishment_prev_2008,"Undernourishment (%), 2008"
undernourishment_prev_2012,"Undernourishment (%), 2012"
undernourishment_prev_2016,"Undernourishment (%), 2016"
unimproved_sanitation_2000,"Sanitation coverage, unimproved (%), 2000"
unimproved_sanitation_2015,"Sanitation coverage, unimproved (%), 2015"
unimproved_water_2000,"Drinking water coverage, unimproved (%), 2000"
unimproved_water_2015,"Drinking water coverage, unimproved (%), 2015"
