iso3,country,region,subregion,GDP_capita_PPP_1999,GDP_capita_PPP_2000,GDP_capita_PPP_2001,GDP_capita_PPP_2002,GDP_capita_PPP_2003,GDP_capita_PPP_2004,GDP_capita_PPP_2005,GDP_capita_PPP_2006,GDP_capita_PPP_2007,GDP_capita_PPP_2008,GDP_capita_PPP_2009,GDP_capita_PPP_2010,GDP_capita_PPP_2011,GDP_capita_PPP_2012,GDP_capita_PPP_2013,GDP_capita_PPP_2014,GDP_capita_PPP_2015,GDP_capita_PPP_2016,GDP_capita_PPP_2017,population_2017,u5mr_1999,u5mr_2000,u5mr_2001,u5mr_2002,u5mr_2003,u5mr_2004,u5mr_2005,u5mr_2006,u5mr_2007,u5mr_2008,u5mr_2009,u5mr_2010,u5mr_2011,u5mr_2012,u5mr_2013,u5mr_2014,u5mr_2015,u5mr_2016,u5mr_2017,basic_sanitation_2015,basic_water_2015,Fruit_2016,Vegetables_2016,Whole grain_2016,Calcium_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar_sweetened_beverages_2016,Trans fat_2016,child_overweight_plan,fbdg,overweight_adults_adoles_plan,sugar_tax,sodium_plan,wasting_plan,country_class,gender_inequality_score_2017,gender_inequality_rank_2017,female_secondary_enroll_net_1999,female_secondary_enroll_net_2000,female_secondary_enroll_net_2001,female_secondary_enroll_net_2002,female_secondary_enroll_net_2003,female_secondary_enroll_net_2004,female_secondary_enroll_net_2005,female_secondary_enroll_net_2006,female_secondary_enroll_net_2007,female_secondary_enroll_net_2008,female_secondary_enroll_net_2009,female_secondary_enroll_net_2010,female_secondary_enroll_net_2011,female_secondary_enroll_net_2012,female_secondary_enroll_net_2013,female_secondary_enroll_net_2014,female_secondary_enroll_net_2015,female_secondary_enroll_net_2016,adult_fem_diabetes_track,adult_fem_obesity_track,adult_mal_diabetes_track,adult_mal_obesity_track,fruit_veg_availability_1999,fruit_veg_availability_2000,fruit_veg_availability_2001,fruit_veg_availability_2002,fruit_veg_availability_2003,fruit_veg_availability_2004,fruit_veg_availability_2005,fruit_veg_availability_2006,fruit_veg_availability_2007,fruit_veg_availability_2008,fruit_veg_availability_2009,fruit_veg_availability_2010,fruit_veg_availability_2011,fruit_veg_availability_2012,fruit_veg_availability_2013
BWA,Botswana,Africa,Southern Africa,10378.82,10410.7,10278.63,10749.25,11094.5,11239.03,11583.22,12362.93,13175.18,13768.34,12499.41,13334.2,13889.27,14244.49,15568.27,15914.67,15356.77,15727.17,15807.37,2291.66,85.1,87,86.5,84.5,81.9,78.2,72,65.7,61.7,59.3,55.6,49.9,48.8,46,43.1,42.2,40.6,39.3,37.6,59.96,79.17,68.92,68.32,14.00,0.43,1.78,12.95,3.11,0.08,106.72,0.00,Yes,No,Yes,No,No,No,experiencing three forms of malnutrition,0.43,97.00,57.13,59.62,No data,59.45,61.40,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,239.20,303.89,222.32,291.07,214.67,176.99,173.89,189.32,238.29,249.20,214.98,243.49,229.81,259.13,287.40
CAF,Central African Republic,Africa,Middle Africa,851.6,813.04,832.23,845.68,785.16,817.17,810.03,833.77,857.08,860.68,863.69,881.14,904.61,938.82,593.06,597.14,621.57,642.87,661.24,4659.08,176.3,175.2,173.7,172,170.2,168.3,166.3,163.8,161.3,158.4,154.9,150.9,146.8,142.9,139,134.8,130.2,125,121.5,25.09,54.14,54.64,34.89,38.78,0.23,0.45,20.22,3.35,0.09,75.59,0.00,No,No,No,No,No,Yes,experiencing two forms of malnutrition,0.67,153.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,7.70,No data,9.92,9.42,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,197.70,205.98,203.38,198.30,190.88,191.62,188.33,189.20,191.15,190.86,190.25,181.40,183.26,185.75,178.22
CAN,Canada,N. America,Northern America,35903.15,37431.92,37712.13,38500.32,38805.67,39604.35,40471.26,41203.35,41647.39,41611.25,39924.2,40699.36,41565.27,41794.54,42339.38,43079.14,43149.48,43238.26,44017.59,36624.2,6.3,6.2,6.2,6.1,6.1,6.1,6.1,6,5.9,5.8,5.7,5.6,5.6,5.5,5.5,5.4,5.3,5.2,5.1,21.72,98.90,149.18,186.50,23.35,0.68,10.92,48.12,4.40,0.09,45.16,0.01,Yes,Yes,Yes,No,Yes,No,No data,0.09,20.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,92.09,91.65,91.06,92.94,100.00,On course,No progress or worsening,No progress or worsening,No progress or worsening,692.60,674.54,670.87,684.69,661.79,665.58,680.58,693.19,726.99,676.19,676.95,668.52,661.81,660.05,668.84
CHE,Switzerland,Europe,Western Europe,49128.03,50775.98,51117.89,50815.15,50459.5,51505.09,52770.47,54531.99,56269.16,56755.84,54805.58,55866.31,56183.83,56149.67,56535.74,57218.03,57264.16,57421.55,57410.17,8476,5.7,5.6,5.5,5.4,5.3,5.2,5.1,4.9,4.8,4.7,4.6,4.6,4.5,4.4,4.4,4.4,4.3,4.3,4.2,0.90,4.54,114.38,120.23,31.88,0.83,6.44,53.39,4.20,0.11,111.42,0.01,Yes,Yes,Yes,No,Yes,No,No data,0.04,1.00,81.58,82.06,81.96,80.94,80.74,81.15,82.02,82.60,82.45,82.30,81.56,82.08,81.77,79.81,82.33,83.23,83.80,84.47,On course,No progress or worsening,No progress or worsening,No progress or worsening,520.39,520.91,507.74,510.90,480.17,472.04,438.15,445.41,465.39,498.31,535.78,567.17,599.46,596.03,581.68
CHL,Chile,Latin America and the Caribbean,South America,13758.91,14315.43,14613.8,14895.54,15332.3,16258.39,17007.58,17890.6,18572.57,19031.62,18547.46,19442.05,20437.7,21330.24,21998.31,22195.27,22516.61,22614.39,22767.04,18054.73,11.5,10.9,10.3,9.8,9.5,9.3,9.2,9.1,9.1,9.1,9,8.8,8.5,8.4,8.3,8.1,7.9,7.7,7.4,14.41,1.85,119.72,211.92,11.50,0.43,21.32,50.78,4.00,0.07,63.81,0.00,Yes,Yes,Yes,Yes,Yes,Yes,experiencing one form of malnutrition,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,91.46,90.71,88.47,89.21,88.79,87.20,89.07,88.97,88.82,88.67,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,400.90,422.73,391.29,439.10,448.20,445.08,436.81,427.47,369.46,385.56,383.33,359.20,336.65,354.66,371.61
CHN,China,Asia,Eastern Asia,3438.07,3700.74,3980.36,4314.79,4718.33,5164.64,5719.46,6411.04,7285.27,7947.79,8651.73,9525.82,10384.37,11145.75,11951.25,12758.65,13569.89,14400.89,15308.71,1409517.4,39.2,36.8,34.2,31.5,28.9,26.3,24,21.9,20,18.5,17,15.8,14.6,13.5,12.5,11.6,10.8,10,9.3,15.35,95.82,112.91,276.79,43.24,0.43,1.36,42.13,7.05,0.08,74.53,0.00,No,Yes,Yes,No,Yes,No,experiencing one form of malnutrition,0.15,36.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,665.84,778.29,816.58,868.95,879.07,900.35,927.32,962.54,995.37,1044.26,1070.40,1109.80,1144.69,1190.94,1211.03
CIV,Cote d'Ivoire,Africa,Western Africa,3081.2,2947.61,2889.95,2788.35,2701.77,2686.67,2682.45,2670.23,2662.33,2672.34,2698.55,2690.26,2511.42,2712.38,2879.85,3054.53,3241.61,3424.96,3601.01,24294.75,149.5,146.8,143.5,140,136.5,132.7,128.8,125,121.1,117.1,113.2,109.8,106.6,103.5,100.6,97.7,94.9,91.8,88.8,29.93,27.26,107.64,80.08,23.36,0.24,0.92,4.08,2.70,0.07,81.58,0.00,No,No,Yes,No,Yes,Yes,experiencing three forms of malnutrition,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,25.20,No data,29.88,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,395.74,382.36,316.73,354.30,318.71,325.70,344.77,334.19,327.45,335.63,313.98,316.24,311.00,317.58,320.16
CMR,Cameroon,Africa,Middle Africa,2578.98,2603.77,2648.55,2689.89,2739.69,2848.65,2829.19,2848.72,2907.83,2927.84,2911.3,2929.83,2969.05,3021.21,3100.17,3196.36,3289.06,3346.82,3364.93,24053.73,152.4,150.3,147.2,143.6,139.8,136,132.2,128.2,124.2,119.7,115.4,110.4,105.8,101.5,97.4,93.8,90.1,86.8,84,38.83,65.28,147.71,175.30,30.70,0.29,0.97,8.86,2.70,0.06,80.50,0.00,No,No,No,No,No,No,experiencing three forms of malnutrition,0.57,139.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,38.05,39.37,42.08,43.30,44.31,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,435.71,423.90,413.61,429.31,420.69,427.17,466.44,495.47,519.19,518.82,543.90,550.08,562.36,590.56,600.81
COD,Democratic Republic of the Congo,Africa,Middle Africa,631.52,573.17,545.85,545.69,558.7,577.86,594.08,605.86,623.13,640.48,637.28,660.21,682.43,706.8,741.62,785.35,812.4,805.06,808.13,81339.99,165.2,161.3,157,152.6,147.9,143.1,138.3,133.6,129,124.5,120.2,116.1,112.1,108.3,104.7,101,97.6,94.4,91.1,19.71,41.84,41.19,33.11,37.75,0.15,0.35,6.47,3.35,0.07,96.49,0.00,No,No,No,No,No,Yes,experiencing two forms of malnutrition,0.65,150.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
COG,Congo,Africa,Middle Africa,4283.32,4480.15,4524.17,4604.57,4515.67,4539.27,4742.94,4875.94,4637.21,4730.03,4918.07,5186.34,5213.95,5271.17,5317.09,5538.05,5542.89,5250.87,4881.41,5260.75,114.8,114.3,111.9,107.7,102,95.6,88.7,82.2,76.1,70.9,66.6,63.1,60.2,57.6,55.3,53.3,51.3,49.4,47.5,15.01,31.34,85.93,73.32,34.14,0.20,0.86,5.38,3.35,0.09,91.45,0.00,Yes,No,Yes,No,No,Yes,experiencing three forms of malnutrition,0.58,141.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,277.55,294.75,282.42,271.24,269.51,287.94,246.08,255.31,250.66,258.96,262.99,272.02,269.47,273.53,281.24
COL,Colombia,Latin America and the Caribbean,South America,8073.37,8308.22,8327.07,8415.76,8625.25,8963.6,9263.73,9760.13,10306.95,10547.26,10599.96,10900.51,11496.48,11840.24,12296.3,12715.97,12985.38,13135.01,13254.95,49065.62,25.8,25,24.3,23.6,22.9,22.3,21.6,21,20.4,19.8,19.1,18.5,18,17.4,16.8,16.2,15.7,15.2,14.7,64.83,25.40,125.39,90.60,159.11,0.45,1.58,27.36,4.18,0.09,285.13,0.00,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.38,86.00,No data,No data,No data,No data,No data,No data,67.43,72.71,76.14,77.33,80.46,81.83,83.97,82.41,82.81,81.64,81.27,81.58,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,395.11,432.35,424.93,430.25,433.02,434.74,432.86,459.13,461.99,467.02,443.34,461.06,442.81,473.11,514.48
COM,Comoros,Africa,Eastern Africa,1370.12,1480.92,1478.58,1476.84,1472.41,1465.46,1471.56,1474.83,1451.42,1422.62,1415.85,1412.5,1414.61,1422.23,1437,1432.09,1413.06,1411.15,1413.89,813.91,101.7,101.1,100.7,100.6,100.1,99.1,97.4,95.4,93,90.5,88,85.3,82.7,80.4,77.9,75.5,73.2,71.1,69,34.17,83.70,44.55,47.98,27.96,0.17,0.48,6.93,2.60,0.18,96.23,0.00,No,No,Yes,No,No,Yes,experiencing three forms of malnutrition,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,45.96,46.65,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
CPV,Cabo Verde,Africa,Western Africa,3425.09,3835.24,3844.51,3971.29,4064.84,4407.34,4643.46,4949.23,5633.93,5944.04,5806.65,5828.24,5991.78,5986.94,5963.91,5928.2,5915.12,6065.28,6222.55,546.39,39.9,35.5,31.9,29.3,27.7,26.7,26.3,26.2,26.2,26,25.7,25.1,24.3,23.3,22.2,21,19.7,18.5,17.4,65.21,86.46,102.78,129.69,21.36,0.54,1.22,25.71,2.70,0.08,96.29,0.00,Yes,No,Yes,No,Yes,Yes,No data,No data,No data,No data,No data,No data,58.68,60.45,60.37,64.54,65.72,68.08,No data,70.84,No data,No data,70.02,69.30,68.39,67.93,68.05,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,264.43,302.23,316.67,346.32,353.14,379.42,366.93,428.24,431.90,470.74,458.11,487.71,535.16,545.83,550.75
CRI,Costa Rica,Latin America and the Caribbean,Central America,9712.49,9878.29,10040.57,10201.59,10473.92,10768.74,11025.48,11656.21,12433.2,12834.94,12543.98,12999.99,13397.23,13878.05,14035.29,14372.4,14738.61,15195,15524.99,4905.77,13.8,12.9,12.2,11.7,11.2,10.8,10.5,10.4,10.4,10.4,10.2,10,9.9,9.8,9.7,9.5,9.4,9.2,9,97.15,9.90,160.42,89.51,155.80,0.59,1.68,22.52,3.62,0.09,314.82,0.01,Yes,Yes,Yes,No,Yes,Yes,experiencing one form of malnutrition,0.30,64.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,78.03,77.98,79.41,80.14,82.20,84.45,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,562.66,541.46,585.69,555.31,451.13,355.14,522.00,591.29,418.75,387.85,378.33,421.80,464.33,504.51,501.48
CUB,Cuba,Latin America and the Caribbean,Caribbean,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,11484.64,8.5,8.1,7.8,7.7,7.7,7.5,7.2,6.9,6.6,6.4,6.2,6,5.9,5.8,5.7,5.7,5.6,5.5,5.4,59.96,95.18,192.07,217.79,90.72,0.53,1.20,20.69,3.09,0.06,199.81,0.00,No,Yes,Yes,No,Yes,No,experiencing two forms of malnutrition,0.30,65.00,79.49,81.88,84.23,82.92,85.05,86.10,87.17,88.57,87.67,86.60,85.26,87.95,88.88,88.75,89.78,88.69,88.35,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,592.57,748.41,841.58,751.74,975.04,935.58,831.18,845.54,858.26,787.80,802.21,738.82,772.60,777.66,777.68
CYP,Cyprus,Asia,Western Asia,28761.1,30085.77,30834.91,31519.72,31909.93,32924.93,33662.85,34599.02,35502.96,35960.35,34387.35,33941.14,33192.38,31690.7,29879.57,29786.17,30549.1,31331.39,32415.13,1179.55,7.1,6.6,6.2,5.8,5.5,5.1,4.8,4.6,4.3,4.1,3.8,3.6,3.5,3.3,3.1,3,2.9,2.8,2.7,23.77,0.40,102.13,170.91,33.82,0.60,2.14,36.64,4.20,0.11,95.79,0.00,Yes,Yes,Yes,No,Yes,No,No data,0.09,17.00,89.56,89.44,89.37,93.13,94.35,94.57,95.29,95.13,96.30,96.70,96.46,89.65,90.62,92.97,93.99,95.51,95.10,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,766.71,674.21,643.05,629.53,576.63,599.63,623.66,632.55,630.81,547.34,550.66,542.86,561.65,477.44,441.62
CZE,Czech Republic,Europe,Eastern Europe,20269.7,21193.9,21892.48,22297.22,23107.2,24233.6,25781.2,27473.63,28844.07,29373.11,27803.59,28352.95,28797.42,28527.14,28379.75,29119.62,30605.42,31338.88,32605.91,10618.3,5.8,5.5,5.2,5,4.8,4.6,4.4,4.1,3.9,3.7,3.5,3.4,3.3,3.2,3.1,3.1,3.1,3.2,3.3,17.20,2.30,85.68,127.59,18.58,0.73,4.84,45.64,4.62,0.09,97.67,0.00,Yes,No,Yes,No,No,No,experiencing two forms of malnutrition,0.12,29.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,426.96,402.31,379.67,356.78,377.23,394.27,407.42,401.57,399.06,422.98,404.87,390.47,390.45,347.65,377.53
DEU,Germany,Europe,Western Europe,35755.3,36764.56,37325.05,37262.35,36977.35,37418.09,37703.93,39143.17,40473.53,40989.44,38784.45,40428.72,42692.52,42822.1,42914.48,43560.62,43937.95,44431.82,45229.25,82114.22,5.5,5.4,5.2,5.1,5,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,4,3.9,3.9,3.8,3.7,3.74,0.78,95.87,130.20,28.11,0.86,11.11,47.24,3.84,0.09,104.84,0.01,Yes,Yes,Yes,No,No,No,experiencing one form of malnutrition,0.07,14.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,On course,No progress or worsening,No progress or worsening,No progress or worsening,471.59,555.98,492.66,511.78,490.40,480.33,474.76,471.83,465.03,462.84,474.61,462.08,499.25,506.37,496.91
DJI,Djibouti,Africa,Eastern Africa,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2705.41,No data,No data,No data,No data,No data,No data,956.99,103.7,101.5,99.3,96.8,94.3,91.7,89.3,86.7,84.1,81.5,79.1,76.7,74.4,72.2,70,67.8,65.7,63.7,61.7,51.38,76.92,24.82,97.76,21.32,0.31,0.85,13.88,2.59,0.11,107.25,0.00,No,No,No,No,No,Yes,experiencing three forms of malnutrition,No data,No data,No data,No data,11.06,11.39,No data,15.64,16.75,No data,No data,21.55,No data,No data,No data,No data,No data,No data,31.66,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,114.05,118.70,109.89,148.39,150.38,116.30,250.15,232.62,204.63,194.03,216.60,239.64,247.72,240.55,309.51
DMA,Dominica,Latin America and the Caribbean,Caribbean,8118.42,8175.44,8214.82,8053,8638.77,8883.3,8844.29,9080.26,9634.77,10302.83,10160.15,10198.27,10135.27,9981.1,9871.67,10255.22,9941.89,10151.34,9673.37,73.93,15.6,15.4,15.3,15.2,15.3,15.6,16,16.5,17.3,18.3,19.4,20.8,22.5,24.4,26.6,28.9,31.2,32.9,34,77.89,96.50,127.38,102.64,78.70,0.46,1.18,17.34,3.10,0.08,185.33,0.00,Yes,Yes,Yes,Yes,No,No,No data,No data,No data,88.16,89.55,86.99,No data,93.04,93.92,92.11,83.18,No data,No data,83.91,83.75,81.53,No data,No data,No data,87.15,96.60,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,1297.24,1279.60,1257.04,1126.10,1277.53,1297.10,1173.06,1209.93,1224.76,1155.82,1249.00,1151.10,1148.83,1178.04,1223.52
DNK,Denmark,Europe,Northern Europe,40945.28,42337.71,42533.54,42595.59,42645.58,43670.45,44567.93,46159.91,46373.52,45865.8,43382.63,43998.44,44403.39,44336.81,44564.45,45057.07,45458.7,45991.22,46682.51,5733.55,5.6,5.5,5.4,5.3,5.2,5,4.8,4.6,4.5,4.3,4.2,4.1,4.1,4.1,4.1,4.2,4.2,4.3,4.3,6.39,3.26,165.70,175.58,42.93,0.90,8.46,47.98,3.42,0.11,107.20,0.00,Yes,Yes,Yes,No,No,No,No data,0.04,2.00,No data,89.59,90.61,92.54,95.76,92.74,93.02,90.96,90.80,90.97,91.29,91.38,92.48,91.52,91.68,91.26,91.28,91.71,On course,No progress or worsening,On course,No progress or worsening,512.80,527.39,502.23,709.99,651.46,650.86,641.28,620.60,570.65,578.50,654.40,606.27,604.45,642.51,621.54
DOM,Dominican Republic,Latin America and the Caribbean,Caribbean,7959.23,8200.38,8272.13,8511.69,8270.29,8356.83,9011.51,9697.82,10271.22,10455.48,10412.6,11132.55,11333.55,11494.95,11907.2,12663.04,13395.92,14120.21,14600.86,10767,42.3,41,39.9,39,38.1,37.4,36.8,36.3,35.8,35.3,34.8,34.3,33.9,33.5,32.9,32.3,31.6,30.8,29.9,82.70,94.48,266.25,94.90,91.51,0.38,1.34,17.86,3.10,0.10,168.39,0.00,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.45,102.00,43.30,44.19,No data,55.67,No data,53.49,57.51,No data,66.89,65.05,66.42,66.44,66.20,66.96,68.69,69.84,70.45,70.80,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,429.58,443.03,542.09,556.39,600.99,531.39,552.39,544.14,554.93,462.00,622.96,729.42,695.00,812.10,850.65
DZA,Algeria,Africa,Northern Africa,9968.97,10211,10382.19,10826.49,11459.89,11797.18,12322.48,12348.48,12570.65,12660.4,12647.54,12870.6,12990.35,13161.96,13253.62,13483.34,13724.72,13921.18,13913.84,41318.14,40.2,39.7,38.9,37.8,36.5,35,33.5,32.1,30.7,29.4,28.3,27.4,26.7,26.1,25.7,25.3,24.9,24.5,24,68.34,93.47,111.71,245.40,39.25,0.60,0.85,10.83,4.23,0.05,96.57,0.00,Yes,No,Yes,No,Yes,No,experiencing two forms of malnutrition,0.44,99.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,355.36,319.86,353.39,384.90,437.37,489.54,508.56,507.83,478.26,493.07,585.24,615.78,669.86,708.87,766.80
ECU,Ecuador,Latin America and the Caribbean,South America,7443.34,7387.62,7550.26,7727.72,7808.19,8311.7,8607.77,8837.38,8879.64,9285.86,9183.55,9352.34,9926.9,10322.18,10665.46,10901.42,10749.13,10424.26,10581.94,16624.86,31,29.1,27.5,26.1,24.9,23.8,22.8,21.9,21,20.1,19.2,18.3,17.5,16.7,16.1,15.5,15.1,14.8,14.5,43.77,18.25,221.83,50.59,96.45,0.43,1.02,26.89,3.82,0.13,89.51,0.01,Yes,No,Yes,Yes,No,Yes,experiencing two forms of malnutrition,0.39,87.00,48.10,48.63,49.50,50.36,50.64,50.99,53.64,55.13,56.57,No data,No data,75.11,77.32,80.44,83.24,83.76,86.12,88.18,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,671.53,618.00,597.09,553.26,509.07,522.57,483.23,410.34,413.09,432.03,520.43,554.40,487.10,492.50,344.22
EGY,Egypt,Africa,Northern Africa,7142.67,7388.36,7507.69,7541.32,7635.66,7800.35,8001.52,8398.87,8838.52,9305.41,9561.85,9857.47,9823.82,9822.42,9814.21,9879.8,10095.61,10324.1,10550.21,97553.15,49.8,46.8,44.1,41.8,39.6,37.8,36.1,34.5,33,31.6,30.3,29,27.8,26.7,25.6,24.7,23.7,22.9,22.1,32.56,98.36,155.93,377.16,51.16,0.46,1.15,12.79,4.23,0.03,98.55,0.02,Yes,No,Yes,No,Yes,No,experiencing three forms of malnutrition,0.45,100.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,79.67,No data,81.61,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,778.31,811.54,765.69,785.27,808.45,818.39,839.03,901.69,910.89,929.94,959.91,873.58,828.13,885.57,811.65
ERI,Eritrea,Africa,Eastern Africa,1781.15,1679.15,1771.69,1765.6,1661.88,1633.42,1628.87,1574.35,1563.49,1384.1,1411.84,1416.37,1510.46,No data,No data,No data,No data,No data,No data,5068.83,93.1,88.4,84,79.8,75.9,72.4,69,65.9,62.9,60,57.6,55.3,53.2,51.3,49.4,47.6,46.1,44.5,43.1,11.26,19.29,40.07,43.44,23.96,0.22,0.41,6.31,2.61,0.07,95.93,0.00,No,No,No,No,Yes,No,experiencing two forms of malnutrition,No data,No data,15.91,17.79,17.51,17.25,17.72,17.59,19.66,21.04,22.62,23.84,26.09,28.88,29.90,30.64,28.26,28.28,25.54,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
ESP,Spain,Europe,Southern Europe,28589.31,29967.13,30950.57,31395.28,31815.42,32261.44,32901.99,33700.85,34329.65,34163.95,32652.51,32507.09,32068.27,31109.19,30678.92,31195.41,32291.16,33320.37,34272.36,46354.32,5.6,5.4,5.3,5.2,5,4.9,4.7,4.5,4.4,4.2,4,3.8,3.7,3.6,3.5,3.3,3.2,3.1,3.1,2.45,1.77,170.58,168.86,64.40,0.60,7.80,43.22,4.00,0.09,88.93,0.00,Yes,Yes,Yes,No,No,No,No data,0.08,15.00,88.38,90.22,92.05,92.83,93.28,94.69,95.02,94.64,94.49,94.65,95.11,95.86,95.59,96.30,96.83,96.93,96.85,97.16,On course,No progress or worsening,No progress or worsening,No progress or worsening,778.81,745.00,730.40,775.93,716.78,704.64,701.38,697.60,660.56,665.11,643.70,603.20,549.14,527.11,524.32
EST,Estonia,Europe,Northern Europe,14271,15703.03,16803.52,17937.83,19389.44,20733.54,22807.18,25298.65,27383.47,25968.97,22187.93,22740.97,24543.07,25692,26282.91,27113.69,27549.58,28109.82,29481.25,1309.63,12,11,10.1,9.3,8.5,7.8,7.1,6.5,5.9,5.4,5,4.5,4.2,3.9,3.6,3.3,3.1,2.9,2.7,6.71,17.92,86.85,175.52,19.12,0.96,9.20,36.00,4.00,0.08,94.26,0.01,Yes,Yes,Yes,Yes,Yes,No,No data,0.12,27.00,86.63,87.87,88.58,91.15,92.68,93.95,95.62,95.80,95.11,93.74,92.44,91.76,91.66,91.43,92.54,93.31,94.43,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,395.61,417.32,435.96,410.75,468.17,435.64,422.26,404.38,490.73,491.48,520.14,504.09,531.21,507.11,537.85
ETH,Ethiopia,Africa,Eastern Africa,599.95,618.24,650.45,641.53,609.94,673.43,732.38,789.87,856.99,924.52,979.62,1073.83,1162.78,1230.58,1325.76,1424.53,1533.11,1608.29,1729.93,104957.44,148.4,142.6,136.6,130.4,124,117.5,111,104.9,99,93.5,88.4,83.7,79.2,75.1,71.2,67.5,64.2,61.2,58.5,7.08,28.59,11.44,35.24,40.52,0.25,0.47,6.02,2.60,0.06,77.51,0.00,Yes,No,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.50,119.00,9.09,10.27,10.52,11.43,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,30.03,30.41,No data,No progress or worsening,No data,No progress or worsening,No progress or worsening,43.03,46.81,45.23,49.11,50.09,56.48,65.83,61.86,57.49,54.55,61.44,71.05,70.19,71.86,68.85
FIN,Finland,Europe,Northern Europe,33094.84,34887.18,35706.15,36218.24,36852.44,38188.25,39115.76,40546.08,42467.26,42574.64,38867.8,39848.13,40683.53,39912.94,39428.31,39017.54,38941.76,39659.17,40585.72,5523.23,4.4,4.3,4.2,4.1,4,3.9,3.7,3.6,3.5,3.3,3.2,3,2.9,2.8,2.6,2.5,2.4,2.3,2.3,7.84,3.15,101.26,131.00,23.06,1.05,6.64,40.83,3.84,0.11,96.41,0.00,Yes,Yes,Yes,Yes,Yes,No,No data,0.06,8.00,94.88,95.26,94.97,95.17,95.42,95.36,96.08,96.39,96.14,95.41,94.69,94.29,93.80,93.21,94.90,94.92,95.66,96.32,On course,No progress or worsening,On course,No progress or worsening,431.99,419.97,440.95,426.57,450.45,468.56,474.17,450.50,472.95,453.77,478.08,464.90,500.41,501.97,504.16
